SEQUENCE_NUM,DEVICE_ID,ALERT_TYPE_ID,POLICY_ID,SIGNATURE_ID,BEGIN_TIME,END_TIME,HIT_COUNT,SRC_IP_ADDR,SRC_IP_ADDR_HIGH,SRC_PORT,DST_IP_ADDR,DST_IP_ADDR_HIGH,DST_PORT,VIRTUAL_SEGMENT_INDEX,PHYSICAL_PORT_IN,VLAN_TAG,SEVERITY_ID,PACKET_TRACE,DEVICE_TRACE_BUCKET,DEVICE_TRACE_BEGIN_SEQ,DEVICE_TRACE_END_SEQ,MESSAGE_PARMS,QUARANTINE_ACTION,FLOW_CONTROL,ACTION_SET_UUID,ACTION_SET_NAME,RATE_LIMIT_RATE,CLIENT_IP_ADDR,CLIENT_IP_ADDR_HIGH,XFF_IP_ADDR,XFF_IP_ADDR_HIGH,TCIP_IP_ADDR,TCIP_IP_ADDR_HIGH,URI_METHOD,URI_HOST,URI_STRING,SRC_USER_NAME,SRC_DOMAIN,SRC_MACHINE,DST_USER_NAME,DST_DOMAIN,DST_MACHINE
73544608,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149809,1582150003381,1,175767561,0,20469,1746014998,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544609,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149929,1582150003481,7,175767561,0,18621,1761514692,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544610,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149929,1582150003481,3,175767561,0,34677,2994767696,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
223301748,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149676,1582150003556,1,175863718,0,58631,599449653,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175863718,0,0,0,0,0,,,,,,,,,
73544611,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149929,1582150003581,2,175767561,0,19089,3115846174,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544612,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582150003,1582150003781,1,175767561,0,33693,585225191,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544613,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149940,1582150003781,1,175767561,0,22413,65535455,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
36259319,dc649d31-10bd-11e7-8f8b-d93a405adbc5,1,15f9454d-f227-4555-bce2-0a3e4ea1b1e2,00000001-0001-0001-0001-000000017056,1582150003,1582150003824,1,175915810,0,44039,2899902826,0,443,20,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175915810,0,0,0,0,0,,,,,,,,,
73544614,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582150003,1582150003881,1,175767561,0,36663,2899906314,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544615,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149701,1582150003981,1,175767561,0,32191,1761514852,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
